credit_code,enterprise_name,outlet_code,outlet_name,outlet_type,discharge_to,target_water,major_pollutants,remark
91330502770749069W,浙江湖州金洁水务股份有限公司,DW001,总排放口DW001,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91330500766436502E,湖州中环水务有限责任公司,DW001,湖州中环水务有限责任公司,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91330500786432381F,湖州诚信污水处理有限公司,DW001,湖州诚信污水处理有限公司总排口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913305006605864576,湖州双林水质净化有限公司,DW001,湖州双林水质净化有限公司废水排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913202057558662409,无锡市永平热镀锌有限公司,DW001,生活污水排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91320205725204983U,伟成(无锡)金属有限公司,DW001,污水接管口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91320205MA22CLY012,无锡达美喷涂有限公司,DW001,生活污水排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
91320205713285982F,无锡苏纺纺织科技有限公司,DW001,生活污水（嘉吉染整生产废水总排口）,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913202057624311499,无锡科捷化学有限公司,DW001,生活污水排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
913202056282865181,无锡先进化药化工有限公司,DW001,V-109污水总排放口,,,,NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/COD/NH3N/COD/NH3N/COD/COD/NH3N/COD/NH3N/TN/TP/TN/TP/COD/NH3N/TN/NH3N/TP/COD/COD/TN/TP/NH3N/COD/TP/NH3N/TN/TP/COD/TN/NH3N/COD/COD/COD/COD/COD/COD/NH3N/TN/TP/COD,
